Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Trắc nghiệm,Kết quả của phép tính 31729 - 2158 là bao nhiêu?,29571 | 29572 | 29581 | 29567,29571,Ta có: 31729 - 2158 = 29571.
Lớp 5,Toán,Học kỳ 2,11. Một số yếu tố Thống kê và Xác suất,Điền khuyết,133957 - ___ = 118976,,14981,Số cần điền là 14981 vì 133957 - 14981 = 118976.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,So sánh,"Điền dấu thích hợp (<, >, =): 45542 + 71844 ___ 17157 + 75645",,>,45542 + 71844 = 117386; 17157 + 75645 = 92802. Nên dấu là >.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Kéo thả,16698 + 227 = ___,16925 | 16926 | 16924,16925,Kéo số 16925 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Kéo thả,72051 + 8080 = ___,80131 | 80132 | 80130,80131,Kéo số 80131 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Điền khuyết,63955 + ___ = 92595,,28640,Số cần điền là 28640 vì 63955 + 28640 = 92595.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Chuỗi Quy luật,"11, 16, 21, ___, 31",,26,Quy luật: cộng thêm 5 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,11. Một số yếu tố Thống kê và Xác suất,Trắc nghiệm,Kết quả của phép tính 31662 - 24223 là bao nhiêu?,7449 | 7442 | 7438 | 7439,7439,Ta có: 31662 - 24223 = 7439.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,Kéo thả,194613 + 188849 = ___,383462 | 383463 | 383461,383462,Kéo số 383462 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Kéo thả,96828 - 50096 = ___,46732 | 46733 | 46731,46732,Kéo số 46732 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,11. Một số yếu tố Thống kê và Xác suất,Chuỗi Quy luật,"5, 8, 11, ___, 17",,14,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,9. Diện tích và Thể tích của một số hình khối,Đúng/Sai,"Phép tính 54498 + 26973 = 81471, đúng hay sai?",,Đúng,Phép tính chính xác là 54498 + 26973 = 81471.
Lớp 5,Toán,Học kỳ 1,6. Ôn tập Học kỳ 1,Kéo thả,62086 + 62549 = ___,124635 | 124636 | 124634,124635,Kéo số 124635 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,6. Ôn tập Học kỳ 1,So sánh,"Điền dấu thích hợp (<, >, =): 27928 + 98543 ___ 58891 + 91872",,<,27928 + 98543 = 126471; 58891 + 91872 = 150763. Nên dấu là <.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Đúng/Sai,"Phép tính 180790 - 46770 = 134024, đúng hay sai?",,Sai,Phép tính chính xác là 180790 - 46770 = 134020.
Lớp 5,Toán,Học kỳ 2,11. Một số yếu tố Thống kê và Xác suất,Chuỗi Quy luật,"2, 5, 8, ___, 14",,11,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,6. Ôn tập Học kỳ 1,Chuỗi Quy luật,"17, 19, 21, ___, 25",,23,Quy luật: cộng thêm 2 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,Đúng/Sai,"Phép tính 94743 - 30423 = 64320, đúng hay sai?",,Đúng,Phép tính chính xác là 94743 - 30423 = 64320.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Điền khuyết,133552 - ___ = 129158,,4394,Số cần điền là 4394 vì 133552 - 4394 = 129158.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,Điền khuyết,64062 + ___ = 75359,,11297,Số cần điền là 11297 vì 64062 + 11297 = 75359.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,Trắc nghiệm,Kết quả của phép tính 46675 + 32236 là bao nhiêu?,78913 | 78921 | 78909 | 78911,78911,Ta có: 46675 + 32236 = 78911.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Điền khuyết,85550 + ___ = 123352,,37802,Số cần điền là 37802 vì 85550 + 37802 = 123352.
Lớp 5,Toán,Học kỳ 2,9. Diện tích và Thể tích của một số hình khối,Kéo thả,14891 + 52906 = ___,67797 | 67798 | 67796,67797,Kéo số 67797 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,Chuỗi Quy luật,"2, 6, 10, ___, 18",,14,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Đúng/Sai,"Phép tính 82293 - 45705 = 36588, đúng hay sai?",,Đúng,Phép tính chính xác là 82293 - 45705 = 36588.
Lớp 5,Toán,Học kỳ 2,9. Diện tích và Thể tích của một số hình khối,Trắc nghiệm,Kết quả của phép tính 86834 - 66341 là bao nhiêu?,20496 | 20491 | 20493 | 20503,20493,Ta có: 86834 - 66341 = 20493.
Lớp 5,Toán,Học kỳ 2,"8. Thể tích, đơn vị đo Thể tích",Điền khuyết,43418 - ___ = 11445,,31973,Số cần điền là 31973 vì 43418 - 31973 = 11445.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Trắc nghiệm,Kết quả của phép tính 89344 - 69026 là bao nhiêu?,20328 | 20315 | 20320 | 20318,20318,Ta có: 89344 - 69026 = 20318.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Điền khuyết,35662 + ___ = 69754,,34092,Số cần điền là 34092 vì 35662 + 34092 = 69754.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Điền khuyết,197276 + ___ = 393859,,196583,Số cần điền là 196583 vì 197276 + 196583 = 393859.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Chuỗi Quy luật,"7, 10, 13, ___, 19",,16,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Kéo thả,74638 - 29800 = ___,44838 | 44839 | 44837,44838,Kéo số 44838 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,Đúng/Sai,"Phép tính 54070 - 25738 = 28333, đúng hay sai?",,Sai,Phép tính chính xác là 54070 - 25738 = 28332.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Đúng/Sai,"Phép tính 63961 - 59878 = 4083, đúng hay sai?",,Đúng,Phép tính chính xác là 63961 - 59878 = 4083.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Kéo thả,82472 - 56631 = ___,25841 | 25842 | 25840,25841,Kéo số 25841 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,"8. Thể tích, đơn vị đo Thể tích",Chuỗi Quy luật,"2, 6, 10, ___, 18",,14,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,11. Một số yếu tố Thống kê và Xác suất,Điền khuyết,74735 + ___ = 125083,,50348,Số cần điền là 50348 vì 74735 + 50348 = 125083.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Trắc nghiệm,Kết quả của phép tính 77388 + 139287 là bao nhiêu?,216675 | 216685 | 216670 | 216679,216675,Ta có: 77388 + 139287 = 216675.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Kéo thả,44847 - 29432 = ___,15415 | 15416 | 15414,15415,Kéo số 15415 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Trắc nghiệm,Kết quả của phép tính 93200 - 34575 là bao nhiêu?,58624 | 58625 | 58635 | 58628,58625,Ta có: 93200 - 34575 = 58625.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",So sánh,"Điền dấu thích hợp (<, >, =): 44924 - 8428 ___ 75716 + 158157",,<,44924 - 8428 = 36496; 75716 + 158157 = 233873. Nên dấu là <.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Đúng/Sai,"Phép tính 48539 + 41000 = 89541, đúng hay sai?",,Sai,Phép tính chính xác là 48539 + 41000 = 89539.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Kéo thả,10666 + 13275 = ___,23941 | 23942 | 23940,23941,Kéo số 23941 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Kéo thả,160621 - 117784 = ___,42837 | 42838 | 42836,42837,Kéo số 42837 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,Điền khuyết,74214 + ___ = 110089,,35875,Số cần điền là 35875 vì 74214 + 35875 = 110089.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Chuỗi Quy luật,"18, 22, 26, ___, 34",,30,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",So sánh,"Điền dấu thích hợp (<, >, =): 90016 - 9369 ___ 24366 + 63211",,<,90016 - 9369 = 80647; 24366 + 63211 = 87577. Nên dấu là <.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Kéo thả,32220 + 57988 = ___,90208 | 90209 | 90207,90208,Kéo số 90208 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,9. Diện tích và Thể tích của một số hình khối,Chuỗi Quy luật,"7, 10, 13, ___, 19",,16,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,Kéo thả,94803 - 91617 = ___,3186 | 3187 | 3185,3186,Kéo số 3186 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,6. Ôn tập Học kỳ 1,Đúng/Sai,"Phép tính 70149 - 12949 = 57200, đúng hay sai?",,Đúng,Phép tính chính xác là 70149 - 12949 = 57200.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Điền khuyết,95185 + ___ = 211866,,116681,Số cần điền là 116681 vì 95185 + 116681 = 211866.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,Chuỗi Quy luật,"20, 24, 28, ___, 36",,32,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,So sánh,"Điền dấu thích hợp (<, >, =): 26599 + 199605 ___ 176382 + 10062",,>,26599 + 199605 = 226204; 176382 + 10062 = 186444. Nên dấu là >.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Trắc nghiệm,Kết quả của phép tính 178703 - 98695 là bao nhiêu?,80008 | 80012 | 80018 | 80004,80008,Ta có: 178703 - 98695 = 80008.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Đúng/Sai,"Phép tính 69919 + 149602 = 219521, đúng hay sai?",,Đúng,Phép tính chính xác là 69919 + 149602 = 219521.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,Chuỗi Quy luật,"16, 18, 20, ___, 24",,22,Quy luật: cộng thêm 2 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Chuỗi Quy luật,"15, 17, 19, ___, 23",,21,Quy luật: cộng thêm 2 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Đúng/Sai,"Phép tính 181778 - 121278 = 60500, đúng hay sai?",,Đúng,Phép tính chính xác là 181778 - 121278 = 60500.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Đúng/Sai,"Phép tính 43138 + 192111 = 235251, đúng hay sai?",,Sai,Phép tính chính xác là 43138 + 192111 = 235249.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Điền khuyết,199709 - ___ = 127741,,71968,Số cần điền là 71968 vì 199709 - 71968 = 127741.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,Kéo thả,127770 - 12990 = ___,114780 | 114781 | 114779,114780,Kéo số 114780 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,So sánh,"Điền dấu thích hợp (<, >, =): 103684 + 29920 ___ 168640 + 69061",,<,103684 + 29920 = 133604; 168640 + 69061 = 237701. Nên dấu là <.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Trắc nghiệm,Kết quả của phép tính 55235 + 55331 là bao nhiêu?,110576 | 110565 | 110566 | 110567,110566,Ta có: 55235 + 55331 = 110566.
Lớp 5,Toán,Học kỳ 2,11. Một số yếu tố Thống kê và Xác suất,Kéo thả,96780 - 64658 = ___,32122 | 32123 | 32121,32122,Kéo số 32122 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,Chuỗi Quy luật,"17, 22, 27, ___, 37",,32,Quy luật: cộng thêm 5 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Trắc nghiệm,Kết quả của phép tính 87412 - 37013 là bao nhiêu?,50409 | 50403 | 50395 | 50399,50399,Ta có: 87412 - 37013 = 50399.
Lớp 5,Toán,Học kỳ 2,"8. Thể tích, đơn vị đo Thể tích",Chuỗi Quy luật,"18, 20, 22, ___, 26",,24,Quy luật: cộng thêm 2 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,So sánh,"Điền dấu thích hợp (<, >, =): 137791 - 2017 ___ 139842 + 36821",,<,137791 - 2017 = 135774; 139842 + 36821 = 176663. Nên dấu là <.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Điền khuyết,54349 - ___ = 26948,,27401,Số cần điền là 27401 vì 54349 - 27401 = 26948.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Chuỗi Quy luật,"1, 5, 9, ___, 17",,13,Quy luật: cộng thêm 4 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,So sánh,"Điền dấu thích hợp (<, >, =): 67185 + 183952 ___ 30783 + 110098",,>,67185 + 183952 = 251137; 30783 + 110098 = 140881. Nên dấu là >.
Lớp 5,Toán,Học kỳ 1,6. Ôn tập Học kỳ 1,Kéo thả,20593 - 5416 = ___,15177 | 15178 | 15176,15177,Kéo số 15177 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Đúng/Sai,"Phép tính 63324 - 61848 = 1476, đúng hay sai?",,Đúng,Phép tính chính xác là 63324 - 61848 = 1476.
Lớp 5,Toán,Học kỳ 2,9. Diện tích và Thể tích của một số hình khối,Kéo thả,97842 - 49279 = ___,48563 | 48564 | 48562,48563,Kéo số 48563 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,12. Ôn tập cuối năm,So sánh,"Điền dấu thích hợp (<, >, =): 34834 + 26934 ___ 4136 + 41799",,>,34834 + 26934 = 61768; 4136 + 41799 = 45935. Nên dấu là >.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,So sánh,"Điền dấu thích hợp (<, >, =): 78272 + 87261 ___ 44287 + 98840",,>,78272 + 87261 = 165533; 44287 + 98840 = 143127. Nên dấu là >.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Điền khuyết,80454 - ___ = 28032,,52422,Số cần điền là 52422 vì 80454 - 52422 = 28032.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Chuỗi Quy luật,"18, 20, 22, ___, 26",,24,Quy luật: cộng thêm 2 vào số liền trước.
Lớp 5,Toán,Học kỳ 2,11. Một số yếu tố Thống kê và Xác suất,Đúng/Sai,"Phép tính 114404 + 14550 = 128954, đúng hay sai?",,Đúng,Phép tính chính xác là 114404 + 14550 = 128954.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Trắc nghiệm,Kết quả của phép tính 21051 + 50928 là bao nhiêu?,71979 | 71989 | 71974 | 71983,71979,Ta có: 21051 + 50928 = 71979.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,Đúng/Sai,"Phép tính 121242 - 113799 = 7443, đúng hay sai?",,Đúng,Phép tính chính xác là 121242 - 113799 = 7443.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",So sánh,"Điền dấu thích hợp (<, >, =): 51933 - 6186 ___ 18266 + 73055",,<,51933 - 6186 = 45747; 18266 + 73055 = 91321. Nên dấu là <.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Điền khuyết,68527 - ___ = 55074,,13453,Số cần điền là 13453 vì 68527 - 13453 = 55074.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Trắc nghiệm,Kết quả của phép tính 48837 - 22398 là bao nhiêu?,26449 | 26441 | 26438 | 26439,26439,Ta có: 48837 - 22398 = 26439.
Lớp 5,Toán,Học kỳ 2,"10. Số đo Thời gian, Vận tốc. Các bài toán liên quan đến Chuyển động đều",Đúng/Sai,"Phép tính 135330 + 133110 = 268445, đúng hay sai?",,Sai,Phép tính chính xác là 135330 + 133110 = 268440.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Trắc nghiệm,Kết quả của phép tính 57635 - 56362 là bao nhiêu?,1273 | 1283 | 1271 | 1275,1273,Ta có: 57635 - 56362 = 1273.
Lớp 5,Toán,Học kỳ 2,11. Một số yếu tố Thống kê và Xác suất,Đúng/Sai,"Phép tính 149273 + 130585 = 279858, đúng hay sai?",,Đúng,Phép tính chính xác là 149273 + 130585 = 279858.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Trắc nghiệm,Kết quả của phép tính 87096 - 40283 là bao nhiêu?,46817 | 46810 | 46813 | 46823,46813,Ta có: 87096 - 40283 = 46813.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,Điền khuyết,143420 + ___ = 320805,,177385,Số cần điền là 177385 vì 143420 + 177385 = 320805.
Lớp 5,Toán,Học kỳ 2,9. Diện tích và Thể tích của một số hình khối,Điền khuyết,189559 - ___ = 121507,,68052,Số cần điền là 68052 vì 189559 - 68052 = 121507.
Lớp 5,Toán,Học kỳ 1,5. Một số hình phẳng. Chu vi và Diện tích,So sánh,"Điền dấu thích hợp (<, >, =): 171223 + 20201 ___ 151327 + 164131",,<,171223 + 20201 = 191424; 151327 + 164131 = 315458. Nên dấu là <.
Lớp 5,Toán,Học kỳ 1,1. Ôn tập và bổ sung,Kéo thả,181452 - 94778 = ___,86674 | 86675 | 86673,86674,Kéo số 86674 vào chỗ trống.
Lớp 5,Toán,Học kỳ 1,2. Số thập phân,Trắc nghiệm,Kết quả của phép tính 82807 + 69724 là bao nhiêu?,152529 | 152531 | 152541 | 152534,152531,Ta có: 82807 + 69724 = 152531.
Lớp 5,Toán,Học kỳ 1,3. Một số đơn vị đo diện tích,Kéo thả,96077 - 59902 = ___,36175 | 36176 | 36174,36175,Kéo số 36175 vào chỗ trống.
Lớp 5,Toán,Học kỳ 2,7. Tỉ số và các Bài toán liên quan,So sánh,"Điền dấu thích hợp (<, >, =): 25794 + 127063 ___ 42149 + 27679",,>,25794 + 127063 = 152857; 42149 + 27679 = 69828. Nên dấu là >.
Lớp 5,Toán,Học kỳ 2,9. Diện tích và Thể tích của một số hình khối,Chuỗi Quy luật,"7, 10, 13, ___, 19",,16,Quy luật: cộng thêm 3 vào số liền trước.
Lớp 5,Toán,Học kỳ 1,4. Các phép tính với số thập phân,So sánh,"Điền dấu thích hợp (<, >, =): 190369 - 99269 ___ 53400 + 137485",,<,190369 - 99269 = 91100; 53400 + 137485 = 190885. Nên dấu là <.
