Cấp lớp,Môn học,Học kỳ,Chủ đề,Loại câu hỏi,Câu hỏi,Lựa chọn,Đáp án đúng,Lời giải chi tiết
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong học tập luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 3,Tiếng Việt,Học kỳ 1,3. Mái nhà yêu thương,Trắc nghiệm,Từ nào đồng nghĩa với từ 'đùm bọc'?,yêu thương | lười biếng | độc ác | phá hoại,yêu thương,'yêu thương' và 'đùm bọc' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Trắc nghiệm,Từ nào đồng nghĩa với từ 'rực rỡ'?,trong lành | lười biếng | độc ác | phá hoại,trong lành,'trong lành' và 'rực rỡ' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Trắc nghiệm,Từ nào đồng nghĩa với từ 'biển cả'?,núi non | lười biếng | độc ác | phá hoại,núi non,'núi non' và 'biển cả' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Kéo thả,Kéo từ 'quê hương' vào ô thích hợp: Em rất yêu ___ của mình.,quê hương | cục đá | bão táp,quê hương,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong mặt trời luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong mát mẻ luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong sách vở luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Trắc nghiệm,"Trong câu: 'Mùa xuân, phát triển thật đẹp.', từ 'phát triển' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'phát triển' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Trắc nghiệm,"Trong câu: 'Mùa xuân, bạn bè thật đẹp.', từ 'bạn bè' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'bạn bè' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,2. Cổng trường rộng mở,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong thầy cô luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Trắc nghiệm,Từ nào đồng nghĩa với từ 'thầy cô'?,bạn bè | lười biếng | độc ác | phá hoại,bạn bè,'bạn bè' và 'thầy cô' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong đùm bọc luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong sân chơi luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Trắc nghiệm,"Trong câu: 'Mùa xuân, sân chơi thật đẹp.', từ 'sân chơi' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'sân chơi' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 3,Tiếng Việt,Học kỳ 1,2. Cổng trường rộng mở,Kéo thả,Kéo thả để ghép đúng câu: Có công mài sắt ___.,có ngày nên kim | thì sẽ thất bại | không cần ai,có ngày nên kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Kéo thả,Kéo từ 'sân chơi' vào ô thích hợp: Em rất yêu ___ của mình.,sân chơi | cục đá | bão táp,sân chơi,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Kéo thả,Kéo từ 'ngôi trường' vào ô thích hợp: Em rất yêu ___ của mình.,ngôi trường | cục đá | bão táp,ngôi trường,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 1,2. Cổng trường rộng mở,Trắc nghiệm,Từ nào đồng nghĩa với từ 'sân chơi'?,ngôi trường | lười biếng | độc ác | phá hoại,ngôi trường,'ngôi trường' và 'sân chơi' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Trắc nghiệm,"Trong câu: 'Mùa xuân, biển cả thật đẹp.', từ 'biển cả' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'biển cả' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Trắc nghiệm,"Trong câu: 'Mùa xuân, lớp học thật đẹp.', từ 'lớp học' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'lớp học' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Trắc nghiệm,Từ nào đồng nghĩa với từ 'truyền thống'?,văn hóa | lười biếng | độc ác | phá hoại,văn hóa,'văn hóa' và 'truyền thống' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chim chóc luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong truyền thống luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong trong lành luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,2. Cổng trường rộng mở,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Trắc nghiệm,"Trong câu: 'Mùa xuân, núi non thật đẹp.', từ 'núi non' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'núi non' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Trắc nghiệm,"Trong câu: 'Mùa xuân, chim chóc thật đẹp.', từ 'chim chóc' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'chim chóc' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Trắc nghiệm,Từ nào đồng nghĩa với từ 'đùm bọc'?,yêu thương | lười biếng | độc ác | phá hoại,yêu thương,'yêu thương' và 'đùm bọc' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Trắc nghiệm,"Trong câu: 'Mùa xuân, gia đình thật đẹp.', từ 'gia đình' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'gia đình' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,3. Mái nhà yêu thương,Kéo thả,Kéo từ 'đùm bọc' vào ô thích hợp: Em rất yêu ___ của mình.,đùm bọc | cục đá | bão táp,đùm bọc,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chăm chỉ luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,2. Cổng trường rộng mở,Điền khuyết,"Điền từ còn thiếu vào câu tục ngữ: Gần mực thì đen, gần đèn thì ___",,rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Uống nước nhớ ___,,nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Lá lành đùm lá ___,,rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Kéo thả,Kéo từ 'thầy cô' vào ô thích hợp: Em rất yêu ___ của mình.,thầy cô | cục đá | bão táp,thầy cô,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Trắc nghiệm,Từ nào đồng nghĩa với từ 'phát triển'?,tự hào | lười biếng | độc ác | phá hoại,tự hào,'tự hào' và 'phát triển' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Kéo thả,Kéo từ 'bầu trời' vào ô thích hợp: Em rất yêu ___ của mình.,bầu trời | cục đá | bão táp,bầu trời,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 1,2. Cổng trường rộng mở,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 3,Tiếng Việt,Học kỳ 1,2. Cổng trường rộng mở,Trắc nghiệm,"Trong câu: 'Mùa xuân, lớp học thật đẹp.', từ 'lớp học' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'lớp học' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong rực rỡ luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Trắc nghiệm,Từ nào đồng nghĩa với từ 'con người'?,truyền thống | lười biếng | độc ác | phá hoại,truyền thống,'truyền thống' và 'con người' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Trắc nghiệm,"Trong câu: 'Mùa xuân, con người thật đẹp.', từ 'con người' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'con người' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chim chóc luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Kéo thả,Kéo từ 'văn hóa' vào ô thích hợp: Em rất yêu ___ của mình.,văn hóa | cục đá | bão táp,văn hóa,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 3,Tiếng Việt,Học kỳ 2,6. Bài học từ cuộc sống,Trắc nghiệm,"Trong câu: 'Mùa xuân, chăm chỉ thật đẹp.', từ 'chăm chỉ' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'chăm chỉ' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,3. Mái nhà yêu thương,Kéo thả,Kéo từ 'yêu thương' vào ô thích hợp: Em rất yêu ___ của mình.,yêu thương | cục đá | bão táp,yêu thương,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong cây xanh luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong truyền thống luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Trắc nghiệm,"Trong câu: 'Mùa xuân, ngôi trường thật đẹp.', từ 'ngôi trường' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'ngôi trường' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Trắc nghiệm,"Trong câu: 'Mùa xuân, cây xanh thật đẹp.', từ 'cây xanh' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'cây xanh' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Kéo thả,Kéo thả để ghép đúng câu: Uống nước ___.,nhớ nguồn | thì sẽ thất bại | không cần ai,nhớ nguồn,Câu hoàn chỉnh: Uống nước nhớ nguồn
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Điền khuyết,Điền từ thích hợp: Mỗi ngày đến trường là một ngày ___.,,vui,Thành ngữ quen thuộc về mái trường.
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong sách vở luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,3. Mái nhà yêu thương,Kéo thả,"Kéo thả để ghép đúng câu: Gần mực thì đen, ___.",gần đèn thì rạng | thì sẽ thất bại | không cần ai,gần đèn thì rạng,"Câu hoàn chỉnh: Gần mực thì đen, gần đèn thì rạng"
Lớp 3,Tiếng Việt,Học kỳ 1,2. Cổng trường rộng mở,Kéo thả,Kéo từ 'ngôi trường' vào ô thích hợp: Em rất yêu ___ của mình.,ngôi trường | cục đá | bão táp,ngôi trường,Phù hợp ngữ cảnh.
Lớp 3,Tiếng Việt,Học kỳ 2,8. Trái Đất của chúng mình,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong chim chóc luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Trắc nghiệm,Từ nào đồng nghĩa với từ 'biển cả'?,núi non | lười biếng | độc ác | phá hoại,núi non,'núi non' và 'biển cả' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 1,3. Mái nhà yêu thương,Kéo thả,Kéo thả để ghép đúng câu: Lá lành ___.,đùm lá rách | thì sẽ thất bại | không cần ai,đùm lá rách,Câu hoàn chỉnh: Lá lành đùm lá rách
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Trắc nghiệm,"Trong câu: 'Mùa xuân, chăm sóc thật đẹp.', từ 'chăm sóc' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'chăm sóc' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Tôn sư trọng ___,,đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Trắc nghiệm,"Trong câu: 'Mùa xuân, bầu trời thật đẹp.', từ 'bầu trời' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'bầu trời' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong truyền thống luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 3,Tiếng Việt,Học kỳ 1,2. Cổng trường rộng mở,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong lớp học luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,3. Mái nhà yêu thương,Trắc nghiệm,"Trong câu: 'Mùa xuân, ngôi nhà chung thật đẹp.', từ 'ngôi nhà chung' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'ngôi nhà chung' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Trắc nghiệm,"Trong câu: 'Mùa xuân, trong lành thật đẹp.', từ 'trong lành' thuộc từ loại gì?",Danh từ | Động từ | Tính từ | Đại từ,Danh từ,'trong lành' chỉ sự vật/hiện tượng nên là danh từ.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong phát triển luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong mặt trời luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,1. Những trải nghiệm thú vị,Trắc nghiệm,Từ nào đồng nghĩa với từ 'sân chơi'?,ngôi trường | lười biếng | độc ác | phá hoại,ngôi trường,'ngôi trường' và 'sân chơi' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 2,5. Những sắc màu thiên nhiên,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong mặt trời luôn ghét bỏ nhau.', đúng hay sai?",,Sai,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,4. Cộng đồng gắn bó,Điền khuyết,Điền từ còn thiếu vào câu tục ngữ: Có công mài sắt có ngày nên ___,,kim,Câu hoàn chỉnh: Có công mài sắt có ngày nên kim
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Đúng/Sai,"Câu văn sau có ý nghĩa phù hợp: 'Mọi người trong con người luôn yêu thương nhau.', đúng hay sai?",,Đúng,Ý nghĩa câu phải logic và tích cực.
Lớp 3,Tiếng Việt,Học kỳ 1,3. Mái nhà yêu thương,Trắc nghiệm,Từ nào đồng nghĩa với từ 'cha mẹ'?,anh chị em | lười biếng | độc ác | phá hoại,anh chị em,'anh chị em' và 'cha mẹ' có nghĩa gần giống nhau.
Lớp 3,Tiếng Việt,Học kỳ 2,7. Đất nước ngàn năm,Kéo thả,Kéo thả để ghép đúng câu: Tôn sư ___.,trọng đạo | thì sẽ thất bại | không cần ai,trọng đạo,Câu hoàn chỉnh: Tôn sư trọng đạo
