Cấp Lớp,Môn học,Chủ đề,Mức độ khó,Loại Câu Hỏi,Câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng,Lời giải
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 292, 584, 876, ...",1752,1168,877,1460,1168,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1538 + [ ] = 1837,300,299,309,298,299,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Chi: Trong số tự nhiên 1551, chữ số hàng đơn vị là bao nhiêu?",1,0,9,,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 313/1565 rút gọn tối giản bằng ... / 5.,4,3,1,2,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1577 là 1578.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1590 ... 1580",=,>,<,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 334, 668, 1002, ...",1003,1336,2004,1670,1336,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1616 + [ ] = 1957,351,341,342,340,341,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Quân: Trong số tự nhiên 1629, chữ số hàng đơn vị là bao nhiêu?",1,9,0,,9,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 355/1775 rút gọn tối giản bằng ... / 5.,1,3,2,4,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1655 là 1656.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1668 ... 1658",=,<,>,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 376, 752, 1128, ...",1880,1504,1129,2256,1504,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1694 + [ ] = 2077,384,393,382,383,383,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Mai: Trong số tự nhiên 1707, chữ số hàng đơn vị là bao nhiêu?",9,0,1,7,7,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 397/1985 rút gọn tối giản bằng ... / 5.,3,2,1,4,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1733 là 1734.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1746 ... 1736",>,=,<,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 418, 836, 1254, ...",1672,1255,2090,2508,1672,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1772 + [ ] = 2197,424,425,435,426,425,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của An: Trong số tự nhiên 1785, chữ số hàng đơn vị là bao nhiêu?",1,0,9,5,5,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 439/2195 rút gọn tối giản bằng ... / 5.,4,2,3,1,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1811 là 1812.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1824 ... 1814",>,<,=,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 460, 920, 1380, ...",1840,2300,2760,1381,1840,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1850 + [ ] = 2317,468,466,467,477,467,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Minh: Trong số tự nhiên 1863, chữ số hàng đơn vị là bao nhiêu?",9,3,0,1,3,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 481/2405 rút gọn tối giản bằng ... / 5.,1,2,4,3,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1889 là 1890.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1902 ... 1892",>,=,<,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 502, 1004, 1506, ...",2510,3012,2008,1507,2008,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 1928 + [ ] = 2437,510,509,519,508,509,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Khôi: Trong số tự nhiên 1941, chữ số hàng đơn vị là bao nhiêu?",9,0,1,,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 523/2615 rút gọn tối giản bằng ... / 5.,1,3,4,2,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 1967 là 1968.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 1980 ... 1970",>,=,<,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 544, 1088, 1632, ...",3264,1633,2720,2176,2176,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 2006 + [ ] = 2557,551,561,550,552,551,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Phong: Trong số tự nhiên 2019, chữ số hàng đơn vị là bao nhiêu?",0,1,9,,9,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 565/2825 rút gọn tối giản bằng ... / 5.,4,2,1,3,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 2045 là 2046.,Đúng,Sai,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 2058 ... 2048",>,=,<,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 586, 1172, 1758, ...",1759,2344,2930,3516,2344,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 2084 + [ ] = 2677,603,593,594,592,593,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Hà: Trong số tự nhiên 2097, chữ số hàng đơn vị là bao nhiêu?",9,0,7,1,7,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 607/3035 rút gọn tối giản bằng ... / 5.,4,2,3,1,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 2123 là 2124.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 2136 ... 2126",=,<,>,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 628, 1256, 1884, ...",2512,3140,1885,3768,2512,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 2162 + [ ] = 2797,635,645,636,634,635,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Trang: Trong số tự nhiên 2175, chữ số hàng đơn vị là bao nhiêu?",9,5,0,1,5,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 649/3245 rút gọn tối giản bằng ... / 5.,1,4,3,2,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 2201 là 2202.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 2214 ... 2204",=,>,<,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 670, 1340, 2010, ...",4020,2680,3350,2011,2680,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 2240 + [ ] = 2917,677,687,676,678,677,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Hương: Trong số tự nhiên 2253, chữ số hàng đơn vị là bao nhiêu?",3,1,9,0,3,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 691/3455 rút gọn tối giản bằng ... / 5.,3,4,2,1,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 2279 là 2280.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 2292 ... 2282",>,<,=,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 712, 1424, 2136, ...",2137,3560,4272,2848,2848,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 2318 + [ ] = 3037,718,720,729,719,719,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Chi: Trong số tự nhiên 2331, chữ số hàng đơn vị là bao nhiêu?",1,9,0,,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 733/3665 rút gọn tối giản bằng ... / 5.,2,4,3,1,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 2357 là 2358.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 2370 ... 2360",<,>,=,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 754, 1508, 2262, ...",3016,4524,3770,2263,3016,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 2396 + [ ] = 3157,771,761,760,762,761,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Quân: Trong số tự nhiên 2409, chữ số hàng đơn vị là bao nhiêu?",1,9,0,,9,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 775/3875 rút gọn tối giản bằng ... / 5.,3,1,4,2,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 2435 là 2436.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 2448 ... 2438",>,<,=,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 796, 1592, 2388, ...",3980,2389,3184,4776,3184,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 2474 + [ ] = 3277,802,803,813,804,803,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của Mai: Trong số tự nhiên 2487, chữ số hàng đơn vị là bao nhiêu?",7,0,1,9,7,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 817/4085 rút gọn tối giản bằng ... / 5.,2,4,1,3,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 2513 là 2514.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 2526 ... 2516",>,<,=,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 838, 1676, 2514, ...",5028,3352,4190,2515,3352,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,drag_drop,Kéo số thích hợp vào ô trống: 2552 + [ ] = 3397,845,855,844,846,845,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,multiple_choice,"Bài tập của An: Trong số tự nhiên 2565, chữ số hàng đơn vị là bao nhiêu?",5,9,1,0,5,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,fill_blank,Điền tử số thích hợp: Phân số 859/4295 rút gọn tối giản bằng ... / 5.,1,3,2,4,1,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,hard,true_false,Đúng hay Sai: Số liền sau của 2591 là 2592.,Sai,Đúng,,,Đúng,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,easy,comparison,"Điền dấu (>, <, =): 2604 ... 2594",=,>,<,,>,Ôn luyện Toán 5 - Chủ đề 1
5,math,math1,medium,sequence,"Tìm số tiếp theo của dãy: 880, 1760, 2640, ...",2641,4400,3520,5280,3520,Ôn luyện Toán 5 - Chủ đề 1
5,math,math2,easy,multiple_choice,Bạn An đọc số thập phân 20.05. Phần nguyên của số này là:,20,2005,0,21,20,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,fill_blank,Điền số thập phân thích hợp: Phân số 2018/100 viết dưới dạng số thập phân là:,2.018,20.18,2018,201.8,20.18,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,true_false,Đúng hay Sai: 20.31 > 20.41.,Đúng,Sai,,,Sai,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,comparison,"Điền dấu (>, <, =): 20.44 ... 20.39",>,=,<,,>,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,sequence,"Tìm số tiếp theo: 20.57, 20.67, 20.77, ...",21.07,20.87,20.97,20.60,20.87,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,drag_drop,Kéo số thích hợp: 20.7 = 20 + [ ] / 100,10,71,0,70,70,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,multiple_choice,Bạn Minh đọc số thập phân 20.83. Phần nguyên của số này là:,2083,20,0,21,20,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,fill_blank,Điền số thập phân thích hợp: Phân số 2096/100 viết dưới dạng số thập phân là:,209.6,20.96,2096,2.096,20.96,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,true_false,Đúng hay Sai: 21.09 > 21.19.,Đúng,Sai,,,Sai,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,comparison,"Điền dấu (>, <, =): 21.22 ... 21.17",<,=,>,,>,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,sequence,"Tìm số tiếp theo: 21.35, 21.45, 21.55, ...",21.85,21.75,21.65,21.38,21.65,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,drag_drop,Kéo số thích hợp: 21.48 = 21 + [ ] / 100,0,49,48,10,48,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,multiple_choice,Bạn Khôi đọc số thập phân 21.61. Phần nguyên của số này là:,0,22,21,2161,21,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,fill_blank,Điền số thập phân thích hợp: Phân số 2174/100 viết dưới dạng số thập phân là:,21.74,2174,217.4,2.174,21.74,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,true_false,Đúng hay Sai: 21.87 > 21.970000000000002.,Đúng,Sai,,,Sai,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,comparison,"Điền dấu (>, <, =): 22.0 ... 21.95",>,<,=,,>,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,sequence,"Tìm số tiếp theo: 22.13, 22.23, 22.33, ...",22.63,22.53,22.43,22.16,22.43,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,drag_drop,Kéo số thích hợp: 22.26 = 22 + [ ] / 100,26,0,10,27,26,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,multiple_choice,Bạn Phong đọc số thập phân 22.39. Phần nguyên của số này là:,0,2239,22,23,22,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,fill_blank,Điền số thập phân thích hợp: Phân số 2252/100 viết dưới dạng số thập phân là:,2.252,225.2,22.52,2252,22.52,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,true_false,Đúng hay Sai: 22.65 > 22.75.,Đúng,Sai,,,Sai,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,comparison,"Điền dấu (>, <, =): 22.78 ... 22.73",>,<,=,,>,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,sequence,"Tìm số tiếp theo: 22.91, 23.01, 23.11, ...",23.31,22.94,23.21,23.41,23.21,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,drag_drop,Kéo số thích hợp: 23.04 = 23 + [ ] / 100,10,4,5,0,4,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,multiple_choice,Bạn Hà đọc số thập phân 23.17. Phần nguyên của số này là:,2317,24,0,23,23,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,fill_blank,Điền số thập phân thích hợp: Phân số 2330/100 viết dưới dạng số thập phân là:,2330,233.0,23.30,2.330,23.30,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,true_false,Đúng hay Sai: 23.43 > 23.53.,Sai,Đúng,,,Sai,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,comparison,"Điền dấu (>, <, =): 23.56 ... 23.51",>,=,<,,>,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,sequence,"Tìm số tiếp theo: 23.69, 23.79, 23.89, ...",24.09,23.99,23.72,24.19,23.99,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,drag_drop,Kéo số thích hợp: 23.82 = 23 + [ ] / 100,82,0,10,83,82,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,multiple_choice,Bạn Trang đọc số thập phân 23.95. Phần nguyên của số này là:,0,23,24,2395,23,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,fill_blank,Điền số thập phân thích hợp: Phân số 2408/100 viết dưới dạng số thập phân là:,2408,2.408,24.08,240.8,24.08,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,true_false,Đúng hay Sai: 24.21 > 24.310000000000002.,Đúng,Sai,,,Sai,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,comparison,"Điền dấu (>, <, =): 24.34 ... 24.29",=,<,>,,>,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,sequence,"Tìm số tiếp theo: 24.47, 24.57, 24.67, ...",24.87,24.97,24.77,24.50,24.77,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,drag_drop,Kéo số thích hợp: 24.6 = 24 + [ ] / 100,0,10,61,60,60,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,multiple_choice,Bạn Hương đọc số thập phân 24.73. Phần nguyên của số này là:,0,24,2473,25,24,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,fill_blank,Điền số thập phân thích hợp: Phân số 2486/100 viết dưới dạng số thập phân là:,24.86,2486,248.6,2.486,24.86,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,hard,true_false,Đúng hay Sai: 24.99 > 25.09.,Sai,Đúng,,,Sai,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,easy,comparison,"Điền dấu (>, <, =): 25.12 ... 25.07",=,>,<,,>,Ôn luyện Toán 5 - Chủ đề 2
5,math,math2,medium,sequence,"Tìm số tiếp theo: 25.25, 25.35, 25.45, ...",25.28,25.55,25.65,25.75,25.55,Ôn luyện Toán 5 - Chủ đề 2
