Tên Đề Thi,Cấp Lớp,Mốc Thời Gian,Loại Câu Hỏi,Nội dung câu hỏi,Đáp án 1,Đáp án 2,Đáp án 3,Đáp án 4,Đáp án đúng
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,true_false,Đúng hay sai: 4 < 8,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,multiple_choice,Tính: 4 + 3 = ?,6,7,9,8,7
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,true_false,Đúng hay sai: 4 < 8,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,comparison,So sánh: 7 ... 3,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,fill_blank,Điền số: 7 - 3 = ...,4,3,7,5,4
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,comparison,So sánh: 4 ... 1,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,multiple_choice,Tính: 2 + 2 = ?,3,5,6,4,4
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,true_false,Đúng hay sai: 4 < 6,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 6,1,mid1,multiple_choice,Tính: 3 + 2 = ?,6,5,7,4,5
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,multiple_choice,Tính: 5 + 3 = ?,8,10,7,9,8
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,true_false,Đúng hay sai: 5 < 7,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,multiple_choice,Tính: 3 + 1 = ?,5,3,4,6,4
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,multiple_choice,Tính: 3 + 2 = ?,7,6,4,5,5
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,true_false,Đúng hay sai: 5 < 6,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,true_false,Đúng hay sai: 3 < 5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,true_false,Đúng hay sai: 3 < 4,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,multiple_choice,Tính: 4 + 3 = ?,8,6,7,9,7
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,multiple_choice,Tính: 2 + 1 = ?,4,5,3,2,3
Đề thi Toán Lớp 1 - MID1 - Đề 7,1,mid1,true_false,Đúng hay sai: 3 < 7,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,multiple_choice,Tính: 4 + 3 = ?,7,9,6,8,7
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,comparison,So sánh: 4 ... 1,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,true_false,Đúng hay sai: 4 < 7,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,true_false,Đúng hay sai: 1 < 5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,multiple_choice,Tính: 3 + 3 = ?,7,6,8,5,6
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,true_false,Đúng hay sai: 4 < 7,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,multiple_choice,Tính: 5 + 3 = ?,10,8,7,9,8
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,multiple_choice,Tính: 2 + 1 = ?,4,2,5,3,3
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,true_false,Đúng hay sai: 5 < 8,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 8,1,mid1,multiple_choice,Tính: 4 + 2 = ?,6,8,7,5,6
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,comparison,So sánh: 6 ... 2,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,fill_blank,Điền số: 4 - 2 = ...,2,4,3,,2
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,multiple_choice,Tính: 5 + 4 = ?,10,11,9,8,9
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,multiple_choice,Tính: 1 + 3 = ?,4,3,5,6,4
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,true_false,Đúng hay sai: 2 < 3,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,fill_blank,Điền số: 6 - 5 = ...,1,5,6,2,1
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,true_false,Đúng hay sai: 3 < 6,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,multiple_choice,Tính: 1 + 2 = ?,4,2,3,5,3
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,fill_blank,Điền số: 7 - 4 = ...,3,4,7,,3
Đề thi Toán Lớp 1 - MID1 - Đề 9,1,mid1,fill_blank,Điền số: 8 - 5 = ...,3,5,8,4,3
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,true_false,Đúng hay sai: 2 < 5,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,true_false,Đúng hay sai: 4 < 8,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,comparison,So sánh: 8 ... 5,>,<,=,,>
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,fill_blank,Điền số: 6 - 2 = ...,4,2,6,5,4
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,fill_blank,Điền số: 5 - 4 = ...,1,4,5,2,1
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,true_false,Đúng hay sai: 5 < 9,Đúng,Sai,,,Đúng
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,multiple_choice,Tính: 2 + 1 = ?,3,5,4,2,3
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,fill_blank,Điền số: 2 - 1 = ...,1,2,,,1
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,fill_blank,Điền số: 8 - 5 = ...,3,5,8,4,3
Đề thi Toán Lớp 1 - MID1 - Đề 10,1,mid1,multiple_choice,Tính: 4 + 4 = ?,10,8,7,9,8
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,multiple_choice,Tính: 19 + 33 = ?,52,42,62,53,52
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,fill_blank,Số gồm 2 chục và 0 đơn vị là:,20,21,19,30,20
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,comparison,So sánh: 22 ... 33,>,<,=,,<
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,multiple_choice,Tính: 48 + 30 = ?,78,68,88,79,78
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,fill_blank,Số gồm 4 chục và 3 đơn vị là:,43,44,42,53,43
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,fill_blank,Số gồm 3 chục và 0 đơn vị là:,30,31,29,40,30
Đề thi Toán Lớp 1 - END1 - Đề 1,1,end1,fill_blank,Số gồm 2 chục và 0 đơn vị là:,20,21,19,30,20
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,multiple_choice,Tính: 42 + 31 = ?,63,74,83,73,73
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,fill_blank,Số gồm 4 chục và 8 đơn vị là:,48,49,47,58,48
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,fill_blank,Số gồm 1 chục và 8 đơn vị là:,18,19,17,28,18
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,multiple_choice,Tính: 34 + 18 = ?,62,52,53,42,52
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,comparison,So sánh: 17 ... 27,>,<,=,,<
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,fill_blank,Số gồm 3 chục và 2 đơn vị là:,32,33,31,42,32
Đề thi Toán Lớp 1 - END1 - Đề 2,1,end1,comparison,So sánh: 47 ... 21,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,multiple_choice,Tính: 14 + 34 = ?,49,38,58,48,48
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,comparison,So sánh: 35 ... 20,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,fill_blank,Số gồm 2 chục và 2 đơn vị là:,22,23,21,32,22
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,comparison,So sánh: 24 ... 37,>,<,=,,<
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,comparison,So sánh: 23 ... 14,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 3,1,end1,comparison,So sánh: 46 ... 31,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,fill_blank,Số gồm 3 chục và 7 đơn vị là:,37,38,36,47,37
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,fill_blank,Số gồm 4 chục và 4 đơn vị là:,44,45,43,54,44
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,fill_blank,Số gồm 4 chục và 5 đơn vị là:,45,46,44,55,45
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,multiple_choice,Tính: 27 + 19 = ?,46,56,36,47,46
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,comparison,So sánh: 11 ... 27,>,<,=,,<
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 4,1,end1,multiple_choice,Tính: 41 + 39 = ?,80,70,81,90,80
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,comparison,So sánh: 21 ... 10,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,comparison,So sánh: 40 ... 37,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,comparison,So sánh: 31 ... 10,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,multiple_choice,Tính: 24 + 30 = ?,55,64,44,54,54
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,fill_blank,Số gồm 3 chục và 9 đơn vị là:,39,40,38,49,39
Đề thi Toán Lớp 1 - END1 - Đề 5,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Số gồm 4 chục và 4 đơn vị là:,44,45,43,54,44
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,multiple_choice,Tính: 16 + 14 = ?,31,40,30,20,30
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Số gồm 4 chục và 8 đơn vị là:,48,49,47,58,48
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Số gồm 2 chục và 9 đơn vị là:,29,30,28,39,29
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,comparison,So sánh: 43 ... 31,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Số gồm 1 chục và 6 đơn vị là:,16,17,15,26,16
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Số gồm 4 chục và 5 đơn vị là:,45,46,44,55,45
Đề thi Toán Lớp 1 - END1 - Đề 6,1,end1,fill_blank,Số gồm 4 chục và 0 đơn vị là:,40,41,39,50,40
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,comparison,So sánh: 18 ... 10,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,comparison,So sánh: 33 ... 18,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,comparison,So sánh: 22 ... 21,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,comparison,So sánh: 29 ... 16,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 7,1,end1,multiple_choice,Tính: 36 + 37 = ?,74,83,63,73,73
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,comparison,So sánh: 49 ... 12,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,multiple_choice,Tính: 45 + 37 = ?,82,72,83,92,82
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,multiple_choice,Tính: 48 + 16 = ?,54,65,74,64,64
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,fill_blank,Số gồm 3 chục và 7 đơn vị là:,37,38,36,47,37
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,fill_blank,Số gồm 4 chục và 2 đơn vị là:,42,43,41,52,42
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 8,1,end1,comparison,So sánh: 44 ... 29,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,fill_blank,Số gồm 1 chục và 9 đơn vị là:,19,20,18,29,19
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,fill_blank,Số gồm 1 chục và 9 đơn vị là:,19,20,18,29,19
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,multiple_choice,Tính: 12 + 18 = ?,40,31,30,20,30
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,fill_blank,Số gồm 2 chục và 1 đơn vị là:,21,22,20,31,21
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,multiple_choice,Tính: 21 + 31 = ?,52,42,53,62,52
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,multiple_choice,Tính: 29 + 17 = ?,56,46,47,36,46
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,comparison,So sánh: 36 ... 14,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 9,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,multiple_choice,Tính: 40 + 10 = ?,40,60,51,50,50
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,multiple_choice,Tính: 20 + 26 = ?,36,47,46,56,46
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,comparison,So sánh: 22 ... 36,>,<,=,,<
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,fill_blank,Số gồm 2 chục và 5 đơn vị là:,25,26,24,35,25
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,comparison,So sánh: 23 ... 21,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,fill_blank,Số gồm 4 chục và 4 đơn vị là:,44,45,43,54,44
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,comparison,So sánh: 37 ... 24,>,<,=,,>
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - END1 - Đề 10,1,end1,true_false,Đúng hay sai: Hình có 3 cạnh là hình vuông.,Đúng,Sai,,,Sai
Đề thi Toán Lớp 1 - MID2 - Đề 1,1,mid2,comparison,So sánh: 50 + 20 ... 80,>,<,=,,<
Đề thi Toán Lớp 1 - MID2 - Đề 1,1,mid2,comparison,So sánh: 50 + 20 ... 80,>,<,=,,<
Đề thi Toán Lớp 1 - MID2 - Đề 1,1,mid2,fill_blank,Điền số: 67 + 10 = ...,77,67,87,57,77
Đề thi Toán Lớp 1 - MID2 - Đề 1,1,mid2,fill_blank,Điền số: 27 + 10 = ...,37,27,47,17,37
Đề thi Toán Lớp 1 - MID2 - Đề 1,1,mid2,multiple_choice,"Hôm nay là thứ Hai, ngày mai là thứ mấy?",Thứ Năm,Chủ Nhật,Thứ Ba,Thứ Tư,Thứ Ba
Đề thi Toán Lớp 1 - MID2 - Đề 1,1,mid2,fill_blank,Điền số: 61 + 10 = ...,71,61,81,51,71
Đề thi Toán Lớp 1 - MID2 - Đề 1,1,mid2,comparison,So sánh: 50 + 20 ... 80,>,<,=,,<
